date/time,latitude,longitude,depth,magnitude,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2004-12-06T06:36:55.150Z,34.484,140.1,71.3,4.4,mb,24,111.4,,0.87,us,usp000da5v,2014-11-07T01:24:14.340Z,"59 km SSE of Tateyama, Japan",earthquake,,,,5,reviewed,us,us
2004-12-05T05:26:36.640Z,40.953,141.911,87,4.1,mwr,50,133.8,,0.54,us,usp000da2f,2014-11-07T01:24:13.883Z,"52 km ENE of Misawa, Japan",earthquake,,8.8,,,reviewed,us,nied
2004-12-04T17:40:52.450Z,38.668,138.565,22.7,4.4,mb,10,230.3,,1.42,us,usp000da0n,2014-11-07T01:24:13.510Z,"66 km N of Ry?tsu-minato, Japan",earthquake,,38.7,,3,reviewed,us,us
2004-12-03T07:14:33.130Z,36.97,135.264,375.8,3.8,mb,20,121.3,,0.85,us,usp000d9wf,2014-11-07T01:24:12.705Z,"115 km NW of Mikuni, Japan",earthquake,,10.2,,8,reviewed,us,us
2004-12-01T14:30:18.670Z,34.324,135.901,10,4.4,mb,26,131.5,,1.28,us,usp000d9qx,2014-11-07T01:24:10.837Z,"8 km SSE of Yoshino-ch?, Japan",earthquake,,0,,9,reviewed,us,us
2004-12-01T01:32:45.030Z,38.905,141.457,105,4.2,mwr,32,134.2,,0.81,us,usp000d9pt,2014-11-07T01:24:10.012Z,"28 km E of Ichinoseki, Japan",earthquake,,9.5,,,reviewed,us,nied
2004-11-26T11:26:01.370Z,36.167,137.382,245.7,3.7,mb,13,123,,0.47,us,usp000d99n,2014-11-07T01:24:05.753Z,"12 km ENE of Takayama, Japan",earthquake,,5.5,,5,reviewed,us,us
2004-11-24T22:21:00.180Z,33.653,142.087,10,4.3,mb,10,234,,0.93,us,usp000d94f,2014-11-07T01:24:04.790Z,"232 km SE of Katsuura, Japan",earthquake,,,,1,reviewed,us,us
2004-11-24T11:16:55.110Z,33.479,141.769,10,4.4,mb,10,136,,0.77,us,usp000d93j,2014-11-07T01:24:04.721Z,"228 km SE of Katsuura, Japan",earthquake,,,,1,reviewed,us,us
2004-11-24T00:39:53.440Z,36.195,141.746,50.2,4.4,mb,23,135.2,,0.84,us,usp000d92m,2014-11-07T01:24:04.636Z,"96 km ENE of Hasaki, Japan",earthquake,,14.2,,8,reviewed,us,us
2004-11-19T08:40:47.600Z,38.877,141.514,73.8,4.4,mwr,55,113,,0.64,us,usp000d8rq,2014-11-07T01:24:02.831Z,"27 km SW of ?funato, Japan",earthquake,,,,,reviewed,us,nied
2004-11-18T18:17:40.010Z,35.992,140.468,82.4,4.2,mb,17,135.2,,1.19,us,usp000d8qs,2014-11-07T01:24:02.516Z,"9 km NW of Itako, Japan",earthquake,,12.2,,7,reviewed,us,us
2004-11-15T22:06:17.910Z,35.473,140.833,60.1,4.3,mb,16,126.4,,0.78,us,usp000d8j4,2014-11-07T01:24:01.229Z,"28 km S of Hasaki, Japan",earthquake,,18.7,,3,reviewed,us,us
2004-11-15T00:39:34.980Z,37.333,138.802,18.9,4.5,mwr,63,121.6,,0.73,us,usp000d8fw,2014-11-07T01:24:00.578Z,"3 km N of Ojiya, Japan",earthquake,,7.7,,,reviewed,us,nied
2004-11-14T09:14:56.030Z,36.289,141.706,36.6,4.4,mwr,40,111.6,,0.89,us,usp000d8e9,2014-11-07T01:24:00.380Z,"99 km NE of Hasaki, Japan",earthquake,,9.7,,,reviewed,us,nied
2004-11-14T08:48:17.930Z,36.229,141.752,10,4.4,mb,30,127.3,,1.03,us,usp000d8e6,2014-11-07T01:24:00.369Z,"99 km ENE of Hasaki, Japan",earthquake,,,,13,reviewed,us,us
2004-11-14T08:44:22.540Z,36.254,141.743,22.7,4.6,mwr,51,119.1,,0.87,us,usp000d8e5,2014-11-07T01:24:00.363Z,"100 km NE of Hasaki, Japan",earthquake,,18.3,,,reviewed,us,nied
2004-11-14T01:11:39.540Z,35.348,140.092,56.7,4.3,mb,11,138.8,,0.93,us,usp000d8dc,2014-11-07T01:24:00.297Z,"15 km ESE of Kisarazu, Japan",earthquake,,16.8,,4,reviewed,us,us
2004-11-13T01:01:48.710Z,37.04,138.457,32.5,4.1,mb,14,132.9,,0.96,us,usp000d8as,2014-11-07T01:23:59.882Z,"21 km ENE of Arai, Japan",earthquake,,12.5,,3,reviewed,us,us
2004-11-11T17:24:02.850Z,37.083,138.862,39.5,4.4,mb,22,133.1,,1.27,us,usp000d853,2014-11-07T01:23:59.020Z,"2 km NW of Muikamachi, Japan",earthquake,,12.4,,9,reviewed,us,us
2004-11-10T17:22:26.690Z,33.507,134.23,10,4,mwr,8,133.8,,1.34,us,usp000d83k,2014-11-07T01:23:58.315Z,"25 km NNE of Muroto-misakicho, Japan",earthquake,,,,,reviewed,us,nied
2004-11-10T12:49:23.140Z,40.934,141.858,93.9,4.2,mwr,42,133.8,,0.88,us,usp000d838,2014-11-07T01:23:58.268Z,"48 km NE of Misawa, Japan",earthquake,,11.3,,,reviewed,us,nied
2004-11-09T18:43:08.400Z,37.368,138.825,10.3,5.1,mwc,211,105.5,,0.78,us,usp000d818,2022-05-02T17:32:05.320Z,"7 km NNE of Ojiya, Japan",earthquake,,6.9,,,reviewed,us,hrv
2004-11-08T21:11:37.260Z,33.709,138.273,10,4.2,mb,10,259.3,,0.57,us,usp000d7z8,2014-11-07T01:23:57.685Z,"99 km S of ?yama, Japan",earthquake,,,,1,reviewed,us,us
2004-11-08T19:15:59.690Z,37.295,138.811,10,4.9,mwc,131,111.2,,0.71,us,usp000d7yx,2016-11-10T00:51:23.718Z,"1 km ESE of Ojiya, Japan",earthquake,,,,,reviewed,us,hrv
2004-11-08T16:48:29.870Z,35.427,138.863,47.7,4.2,mb,8,153.6,,0.28,us,usp000d7yn,2014-11-07T01:23:57.593Z,"6 km ESE of Fujiyoshida, Japan",earthquake,,14.6,,1,reviewed,us,us
2004-11-08T15:07:24.500Z,33.721,138.403,10,5.6,mwc,360,36,,0.76,us,usp000d7ye,2022-05-02T15:55:23.788Z,"99 km S of ?yama, Japan",earthquake,,,,,reviewed,us,hrv
2004-11-08T15:04:18.690Z,33.719,138.454,10,4.3,mwr,26,116.5,,0.69,us,usp000d7yd,2014-11-07T01:23:57.331Z,"100 km SSE of ?yama, Japan",earthquake,,,,,reviewed,us,nied
2004-11-08T03:05:06.770Z,37.394,139.002,8,4,mwr,22,133.1,,0.85,us,usp000d7xc,2014-11-07T01:23:57.208Z,"9 km S of Tochio-honch?, Japan",earthquake,,11.3,,,reviewed,us,nied
2004-11-08T02:49:34.530Z,37.366,138.847,10,4.4,mb,34,129.2,,0.57,us,usp000d7xa,2014-11-07T01:23:57.200Z,"8 km NNE of Ojiya, Japan",earthquake,,,,10,reviewed,us,us
2004-11-08T02:43:05.770Z,37.363,138.758,10,4.3,mwr,44,121.6,,0.88,us,usp000d7x9,2014-11-07T01:23:57.195Z,"7 km NNW of Ojiya, Japan",earthquake,,,,,reviewed,us,nied
2004-11-08T02:32:16.960Z,37.391,138.896,10,4.9,mwc,162,105.6,,0.78,us,usp000d7x8,2016-11-10T02:39:46.748Z,"7 km SSE of Nagaoka, Japan",earthquake,,,,,reviewed,us,hrv
2004-11-08T02:27:10.430Z,37.327,138.836,10,5,mwc,141,105.4,,0.92,us,usp000d7x7,2016-11-10T00:51:20.639Z,"4 km NE of Ojiya, Japan",earthquake,,,,,reviewed,us,hrv
2004-11-08T02:15:58.840Z,37.396,138.862,10,5.5,mwb,382,84.4,,0.74,us,usp000d7x5,2022-07-14T19:53:24.861Z,"6 km S of Nagaoka, Japan",earthquake,,,,,reviewed,us,us
2004-11-07T22:45:26.450Z,33.456,136.761,10,4.4,mb,9,148.3,,1.19,us,usp000d7ww,2014-11-07T01:23:57.087Z,"78 km ESE of Shing?, Japan",earthquake,,,,2,reviewed,us,us
2004-11-07T18:28:45.070Z,38.316,141.9,48.9,4.4,mb,27,129.8,,0.79,us,usp000d7wn,2014-11-07T01:23:57.063Z,"53 km ESE of Ishinomaki, Japan",earthquake,,,,6,reviewed,us,us
2004-11-06T13:05:11.520Z,37.275,138.899,10,4,mwr,33,129,,0.83,us,usp000d7tp,2014-11-07T01:23:56.639Z,"9 km ESE of Ojiya, Japan",earthquake,,,,,reviewed,us,nied
2004-11-06T09:25:56.180Z,37.106,138.734,10,4.3,mb,19,133.1,,1.12,us,usp000d7t9,2014-11-07T01:23:56.611Z,"4 km SW of T?kamachi, Japan",earthquake,,,,3,reviewed,us,us
2004-11-06T06:16:50.240Z,37.313,138.954,10,4.4,mb,15,121.5,,1.03,us,usp000d7sw,2014-11-07T01:23:56.565Z,"13 km E of Ojiya, Japan",earthquake,,,,1,reviewed,us,us
2004-11-06T01:25:26.630Z,36.273,139.725,64,4.4,mb,9,154.1,,1.25,us,usp000d7sd,2014-11-07T01:23:56.514Z,"7 km ENE of Fujioka, Japan",earthquake,,18.4,,2,reviewed,us,us
2004-11-05T19:23:11.610Z,40.275,141.025,16.8,3.9,mwr,13,133.6,,1.1,us,usp000d7rr,2014-11-07T01:23:56.432Z,"22 km ENE of Hanawa, Japan",earthquake,,45.7,,,reviewed,us,nied
2004-11-05T17:53:21.400Z,37.338,138.884,10,5.1,mwc,155,105.5,,0.81,us,usp000d7rg,2022-05-02T17:31:52.575Z,"8 km ENE of Ojiya, Japan",earthquake,,,,,reviewed,us,hrv
2004-11-05T05:56:42.010Z,37.156,138.769,10,4,mb,9,133.1,,0.66,us,usp000d7qn,2014-11-07T01:23:56.284Z,"2 km N of T?kamachi, Japan",earthquake,,,,1,reviewed,us,us
2004-11-05T04:45:51.630Z,39.657,141.897,81.7,4.3,mb,29,134.2,,0.78,us,usp000d7qj,2014-11-07T01:23:56.226Z,"3 km WNW of Miyako, Japan",earthquake,,10.4,,9,reviewed,us,us
2004-11-03T23:57:28.180Z,37.434,138.752,10,5.3,mwc,193,102.1,,0.74,us,usp000d7nc,2022-05-02T17:31:46.049Z,"8 km WSW of Nagaoka, Japan",earthquake,,,,,reviewed,us,hrv
2004-11-03T20:13:56.780Z,33.724,138.542,238.7,4.2,mb,21,133.7,,0.75,us,usp000d7n2,2014-11-07T01:23:55.516Z,"102 km SSE of ?yama, Japan",earthquake,,7.4,,5,reviewed,us,us
2004-11-02T16:22:37.130Z,38.724,143.234,10.7,4,mwr,12,144,,1.43,us,usp000d7hy,2014-11-07T01:23:54.779Z,"133 km ESE of Kamaishi, Japan",earthquake,,63.6,,,reviewed,us,nied
2004-11-02T13:04:24.360Z,38.837,142.77,23.1,5.2,mwc,195,105.8,,0.87,us,usp000d7hn,2016-11-10T00:50:46.481Z,"92 km ESE of Kamaishi, Japan",earthquake,,,,,reviewed,us,hrv
2004-10-31T19:35:48.650Z,37.185,138.747,10,4.8,mwc,179,109.3,,0.69,us,usp000d7dy,2016-11-10T00:50:32.047Z,"5 km NNW of T?kamachi, Japan",earthquake,,,,,reviewed,us,hrv
2004-10-30T14:11:55.440Z,37.343,140.655,10,4.2,mb,9,216.1,,0.77,us,usp000d7bn,2014-11-07T01:23:50.477Z,"13 km SSE of Funehikimachi-funehiki, Japan",earthquake,,,,3,reviewed,us,us
2004-10-29T21:07:08.720Z,35.27,140.077,71.3,4.3,mwr,20,193.6,,0.84,us,usp000d7am,2014-11-07T01:23:50.306Z,"18 km SE of Kisarazu, Japan",earthquake,,12,,,reviewed,us,nied
2004-10-29T01:27:32.220Z,37.399,138.616,10,4,mb,10,145.4,,0.81,us,usp000d797,2014-11-07T01:23:50.168Z,"6 km ENE of Kashiwazaki, Japan",earthquake,,,,1,reviewed,us,us
2004-10-27T16:46:59.030Z,37.269,139.003,10,4.3,mb,14,125.6,,0.98,us,usp000d76y,2014-11-07T01:23:49.771Z,"18 km E of Ojiya, Japan",earthquake,,,,1,reviewed,us,us
2004-10-27T12:27:34.530Z,33.577,135.228,40.7,4.4,mb,16,138.9,,1.05,us,usp000d76f,2014-11-07T01:23:49.725Z,"21 km SW of Tanabe, Japan",earthquake,,,,3,reviewed,us,us
2004-10-27T12:09:08.340Z,37.362,138.8,10,4,mb,22,129.2,,1.01,us,usp000d76d,2014-11-07T01:23:49.720Z,"6 km N of Ojiya, Japan",earthquake,,0,,3,reviewed,us,us
2004-10-27T11:31:26.140Z,37.347,138.769,15.4,3.9,mb,18,129.1,,0.53,us,usp000d76b,2014-11-07T01:23:49.717Z,"5 km NNW of Ojiya, Japan",earthquake,,20.5,,1,reviewed,us,us
2004-10-27T08:15:20.140Z,37.243,138.759,25.1,4.2,mb,13,133,,0.86,us,usp000d763,2014-11-07T01:23:49.650Z,"7 km SSW of Ojiya, Japan",earthquake,,16,,1,reviewed,us,us
2004-10-27T06:23:19.680Z,36.66,138.471,10,4.1,mb,10,140.8,,1.44,us,usp000d75z,2014-11-07T01:23:49.639Z,"13 km SE of Nakano, Japan",earthquake,,,,1,reviewed,us,us
2004-10-27T03:05:55.420Z,37.28,138.831,13.7,4.4,mb,34,129,,0.85,us,usp000d75s,2014-11-07T01:23:49.626Z,"3 km SE of Ojiya, Japan",earthquake,,8.4,,9,reviewed,us,us
2004-10-27T01:56:26.710Z,37.308,138.763,10,3.9,mb,16,129.1,,0.78,us,usp000d75n,2014-11-07T01:23:49.615Z,"3 km WNW of Ojiya, Japan",earthquake,,,,1,reviewed,us,us
2004-10-27T01:45:34.400Z,37.299,138.873,10,4.6,mb,12,129.1,,0.67,us,usp000d75m,2014-11-07T01:23:49.614Z,"6 km E of Ojiya, Japan",earthquake,,,,1,reviewed,us,us
2004-10-27T01:40:50.260Z,37.284,138.885,14.1,6,mwb,499,64,,0.9,us,usp000d75k,2022-05-02T17:31:29.815Z,"7 km ESE of Ojiya, Japan",earthquake,,,,,reviewed,us,us
2004-10-27T01:35:19.880Z,37.413,138.66,10,3.7,mb,10,129.3,,0.61,us,usp000d75j,2014-11-07T01:23:49.564Z,"11 km ENE of Kashiwazaki, Japan",earthquake,,,,1,reviewed,us,us
2004-10-27T01:30:03.080Z,37.252,138.684,10,4,mb,17,140.7,,0.78,us,usp000d75g,2014-11-07T01:23:49.561Z,"near the west coast of Honshu, Japan",earthquake,,0,,4,reviewed,us,us
2004-10-27T01:26:20.350Z,37.33,138.89,5.4,4.4,mb,22,121.5,,0.63,us,usp000d75e,2014-11-07T01:23:49.558Z,"8 km ENE of Ojiya, Japan",earthquake,,11.4,,3,reviewed,us,us
2004-10-26T17:05:38.660Z,37.2,138.848,11.4,4.2,mb,8,152.7,,1.37,us,usp000d74q,2014-11-07T01:23:49.437Z,"10 km NE of T?kamachi, Japan",earthquake,,17.8,,2,reviewed,us,us
2004-10-26T15:56:44.030Z,37.138,138.797,22,4,mwr,17,125.5,,0.65,us,usp000d74j,2014-11-07T01:23:49.425Z,"near the west coast of Honshu, Japan",earthquake,,12.4,,,reviewed,us,nied
2004-10-25T18:32:23.640Z,37.316,138.561,23.2,4.3,mb,18,132.9,,0.53,us,usp000d72c,2014-11-07T01:23:49.136Z,"5 km S of Kashiwazaki, Japan",earthquake,,18.5,,4,reviewed,us,us
2004-10-25T18:32:07.370Z,36.837,140.574,10,4.4,mb,7,178.6,,1.07,us,usp000d72b,2014-11-07T01:23:49.134Z,"16 km WNW of Kitaibaraki, Japan",earthquake,,,,2,reviewed,us,us
2004-10-25T11:26:34.320Z,37.206,138.697,19.3,4.4,mb,11,140.7,,0.51,us,usp000d71p,2014-11-07T01:23:49.028Z,"10 km NW of T?kamachi, Japan",earthquake,,25.9,,2,reviewed,us,us
2004-10-25T09:50:00.390Z,37.274,138.914,10,4.4,mb,15,133.4,,0.95,us,usp000d71k,2014-11-07T01:23:49.016Z,"10 km ESE of Ojiya, Japan",earthquake,,,,4,reviewed,us,us
2004-10-24T21:32:39.040Z,37.366,138.839,10,4.2,mb,33,121.6,,0.64,us,usp000d70g,2014-11-07T01:23:48.815Z,"8 km NNE of Ojiya, Japan",earthquake,,,,5,reviewed,us,us
2004-10-24T21:04:57.060Z,37.308,138.701,11,5.7,mwb,651,26.4,,0.93,us,usp000d70d,2022-05-02T17:31:21.375Z,"8 km W of Ojiya, Japan",earthquake,,,,,reviewed,us,us
2004-10-24T20:42:57.080Z,33.404,139.278,8.9,4.3,mb,10,123.7,,1.13,us,usp000d70a,2014-11-07T01:23:48.754Z,"144 km SSE of Shimoda, Japan",earthquake,,25,,2,reviewed,us,us
2004-10-24T16:27:51.830Z,37.154,138.664,10,4.4,mwr,89,121.4,,0.88,us,usp000d6zw,2014-11-07T01:23:48.715Z,"9 km WNW of T?kamachi, Japan",earthquake,,,,,reviewed,us,nied
2004-10-24T16:15:58.070Z,36.559,141.123,42.1,4.4,mwr,58,119.7,,0.97,us,usp000d6zu,2014-11-07T01:23:48.708Z,"40 km ESE of Takahagi, Japan",earthquake,,,,,reviewed,us,nied
2004-10-24T15:56:14.930Z,37.145,138.813,10,4.2,mb,30,115.6,,1.05,us,usp000d6zt,2014-11-07T01:23:48.705Z,"4 km ENE of T?kamachi, Japan",earthquake,,,,7,reviewed,us,us
