date/time,latitude,longitude,depth,magnitude,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1990-01-01T09:03:12.880Z,36.417,140.568,67.9,4.8,mb,,,,1.2,us,usp00043tg,2014-11-07T00:45:26.659Z,"3 km NE of Hitachi-Naka, Japan",earthquake,,6.5,,12,reviewed,us,us
1989-12-30T13:12:52.190Z,40.962,142.398,82,4.6,mb,,,,1,us,usp00043rq,2014-11-07T00:45:24.761Z,"90 km ENE of Misawa, Japan",earthquake,,14.3,,13,reviewed,us,us
1989-12-25T08:47:21.370Z,36.263,141.01,47.4,4.7,mb,,,,1.3,us,usp00043j5,2014-11-07T00:45:23.662Z,"38 km E of ?arai, Japan",earthquake,,,,11,reviewed,us,us
1989-12-24T18:49:13.470Z,33.573,138.435,251.6,4.5,mb,,,,0.7,us,usp00043hn,2014-11-07T00:45:23.609Z,"116 km S of ?yama, Japan",earthquake,,6.6,,15,reviewed,us,us
1989-12-22T07:04:45.600Z,38.303,142.341,33,4.7,mb,,,,1.2,us,usp00043en,2014-11-07T00:45:23.354Z,"91 km E of Ishinomaki, Japan",earthquake,,,,2,reviewed,us,us
1989-12-22T00:32:48.580Z,36.309,141.153,40.1,4.9,mb,,,,1.1,us,usp00043dz,2014-11-07T00:45:23.152Z,"51 km E of ?arai, Japan",earthquake,,,,15,reviewed,us,us
1989-12-20T13:01:07.910Z,38.201,135.295,361.9,4.6,mb,,,,1,us,usp00043br,2014-11-07T00:45:22.881Z,Sea of Japan,earthquake,,3.2,,18,reviewed,us,us
1989-12-20T09:04:14.450Z,40.067,142.475,59.1,4.7,mb,,,,1.1,us,usp00043b8,2014-11-07T00:45:22.829Z,"65 km NE of Miyako, Japan",earthquake,,7.6,,16,reviewed,us,us
1989-12-17T08:11:05.690Z,39.552,143.332,20.3,5.2,mb,,,,1.1,us,usp000436m,2014-11-07T00:45:22.102Z,"119 km E of Yamada, Japan",earthquake,,,,27,reviewed,us,us
1989-12-17T03:00:36.030Z,33.623,135.305,33,4.7,mb,,,,1.4,us,usp000436a,2014-11-07T00:45:22.036Z,"13 km SSW of Tanabe, Japan",earthquake,,,,1,reviewed,us,us
1989-12-16T23:25:35.330Z,40.011,143.291,22,5.7,mw,,,,1,us,usp0004364,2022-04-28T20:04:38.761Z,"122 km ENE of Miyako, Japan",earthquake,,,,,reviewed,us,hrv
1989-12-16T14:16:35.590Z,39.75,143.598,33,4.6,mb,,,,0.9,us,usp0004359,2014-11-07T00:45:21.881Z,"142 km E of Miyako, Japan",earthquake,,,,3,reviewed,us,us
1989-12-16T12:46:38.860Z,39.672,143.497,26.7,4.9,mb,,,,1.2,us,usp0004354,2014-11-07T00:45:21.856Z,"133 km E of Miyako, Japan",earthquake,,,,15,reviewed,us,us
1989-12-16T10:45:42.090Z,38.591,138.517,20.9,5,mb,,,,0.9,us,usp000434v,2014-11-07T00:45:21.811Z,"57 km N of Ry?tsu-minato, Japan",earthquake,,,,21,reviewed,us,us
1989-12-14T04:25:04.020Z,36.333,141.179,56.8,4.5,mb,,,,0.8,us,usp0004323,2014-11-07T00:45:21.115Z,"53 km E of ?arai, Japan",earthquake,,9.9,,5,reviewed,us,us
1989-12-12T19:25:02.510Z,37.037,142.323,33,4.3,mb,,,,0.9,us,usp000430r,2014-11-07T00:45:21.008Z,"127 km ESE of Namie, Japan",earthquake,,,,1,reviewed,us,us
1989-12-08T17:23:30.240Z,36.552,140.917,46.7,5.6,mw,,,,0.9,us,usp00042vu,2022-04-28T20:04:06.857Z,"24 km ESE of Hitachi, Japan",earthquake,,,,,reviewed,us,hrv
1989-12-07T08:27:30.170Z,35.847,139.123,85.8,4.4,mb,,,,0.7,us,usp00042u9,2014-11-07T00:45:19.883Z,"12 km WNW of ?me, Japan",earthquake,,20.1,,3,reviewed,us,us
1989-12-04T09:18:37.130Z,39.809,143.073,32.9,4.3,mb,,,,1.4,us,usp00042qm,2014-11-07T00:45:18.979Z,"98 km E of Miyako, Japan",earthquake,,6.5,,5,reviewed,us,us
1989-12-02T16:05:44.380Z,39.526,143.169,26.5,4.9,mb,,,,1,us,usp00042nn,2014-11-07T00:45:18.151Z,"105 km E of Yamada, Japan",earthquake,,,,21,reviewed,us,us
1989-12-02T13:36:07.320Z,39.499,143.29,20.4,4.5,mb,,,,0.9,us,usp00042nj,2014-11-07T00:45:18.124Z,"115 km E of Yamada, Japan",earthquake,,,,6,reviewed,us,us
1989-12-02T12:50:02.850Z,39.378,143.321,22.6,4.6,mb,,,,1,us,usp00042nf,2014-11-07T00:45:18.010Z,"118 km E of Yamada, Japan",earthquake,,,,8,reviewed,us,us
1989-12-02T12:23:46.760Z,39.365,143.558,33,4,mb,,,,0.7,us,usp00042nd,2014-11-07T00:45:18.000Z,"138 km E of Yamada, Japan",earthquake,,,,2,reviewed,us,us
1989-12-02T12:20:16.840Z,39.798,142.828,33,5.4,ms,,,,1.1,us,usp00042nc,2014-11-07T00:45:17.992Z,"77 km ENE of Miyako, Japan",earthquake,,,,1,reviewed,us,us
1989-12-02T12:19:11.700Z,39.462,143.296,33,4.1,mb,,,,0.7,us,usp00042nb,2014-11-07T00:45:17.985Z,"off the east coast of Honshu, Japan",earthquake,,,,2,reviewed,us,us
1989-12-02T12:15:17.840Z,39.536,143.089,34.5,5.6,mw,,,,1.2,us,usp00042na,2022-04-28T20:03:24.916Z,"98 km E of Yamada, Japan",earthquake,,12.2,,,reviewed,us,hrv
1989-11-29T20:21:01.880Z,39.671,143.435,33,4.5,mb,,,,1.4,us,usp00042jj,2014-11-07T00:45:14.822Z,"128 km E of Miyako, Japan",earthquake,,,,3,reviewed,us,us
1989-11-26T08:43:38.490Z,39.85,143.518,33,4.3,mb,,,,1.1,us,usp00042eh,2014-11-07T00:45:14.292Z,"137 km E of Miyako, Japan",earthquake,,,,3,reviewed,us,us
1989-11-25T07:02:49.000Z,35.944,140.134,76.1,4.8,mb,,,,1.2,us,usp00042dj,2014-11-07T00:45:14.152Z,"2 km S of Ushiku, Japan",earthquake,,5.3,,13,reviewed,us,us
1989-11-23T19:17:32.540Z,34.435,141.302,56.1,4.8,mb,,,,1.2,us,usp00042br,2014-11-07T00:45:13.953Z,"119 km SE of Katsuura, Japan",earthquake,,11.5,,11,reviewed,us,us
1989-11-23T15:49:42.860Z,39.856,143.11,33.7,5.2,mw,,,,1,us,usp00042bj,2016-11-10T00:02:07.054Z,"102 km ENE of Miyako, Japan",earthquake,,,,,reviewed,us,hrv
1989-11-22T01:40:55.080Z,38.141,143.423,33,4.2,mb,,,,0.8,us,usp00042a6,2014-11-07T00:45:13.421Z,"181 km SE of ?funato, Japan",earthquake,,,,1,reviewed,us,us
1989-11-21T10:13:18.900Z,39.621,143.141,25,4.9,mb,,,,1.3,us,usp000429c,2014-11-07T00:45:13.298Z,"103 km E of Miyako, Japan",earthquake,,,,22,reviewed,us,us
1989-11-21T04:47:07.110Z,40.055,142.324,48.5,4.9,mb,,,,1,us,usp0004295,2014-11-07T00:45:13.277Z,"55 km NE of Miyako, Japan",earthquake,,,,36,reviewed,us,us
1989-11-18T04:50:16.020Z,40.196,143.823,29.3,4.6,ms,,,,0.9,us,usp0004259,2014-11-07T00:45:12.811Z,"172 km ENE of Miyako, Japan",earthquake,,,,2,reviewed,us,us
1989-11-17T11:57:52.630Z,39.557,143.588,26.3,4.3,mb,,,,0.9,us,usp000424e,2014-11-07T00:45:12.733Z,"141 km E of Yamada, Japan",earthquake,,7.2,,2,reviewed,us,us
1989-11-17T08:00:51.600Z,39.507,143.21,17.3,4.9,mb,,,,1.1,us,usp000424c,2014-11-07T00:45:12.725Z,"108 km E of Yamada, Japan",earthquake,,,,23,reviewed,us,us
1989-11-16T04:02:58.650Z,33.403,131.416,33,4.3,mb,,,,1.1,us,usp000422s,2014-11-07T00:45:12.528Z,"11 km WNW of Hiji, Japan",earthquake,,,,5,reviewed,us,us
1989-11-15T18:31:45.150Z,39.818,143.04,33,4.8,mb,,,,1,us,usp000422d,2014-11-07T00:45:12.488Z,"96 km E of Miyako, Japan",earthquake,,,,18,reviewed,us,us
1989-11-14T05:49:04.700Z,39.338,143.69,33,4.3,mb,,,,1.5,us,usp000420p,2014-11-07T00:45:12.240Z,"150 km E of Yamada, Japan",earthquake,,,,3,reviewed,us,us
1989-11-12T03:31:08.060Z,39.857,143.561,33,4.3,mb,,,,1.1,us,usp00041yq,2014-11-07T00:45:12.029Z,"140 km E of Miyako, Japan",earthquake,,,,3,reviewed,us,us
1989-11-11T04:13:17.550Z,39.578,143.639,35.4,4.5,mb,,,,0.8,us,usp00041xv,2014-11-07T00:45:11.941Z,"145 km E of Yamada, Japan",earthquake,,14.9,,5,reviewed,us,us
1989-11-07T15:13:51.460Z,40.312,143.535,33,4.7,mb,,,,0.9,us,usp00041un,2014-11-07T00:45:11.469Z,"154 km ENE of Miyako, Japan",earthquake,,,,7,reviewed,us,us
1989-11-07T15:00:35.610Z,39.732,143.573,33,4.6,mb,,,,1.1,us,usp00041um,2014-11-07T00:45:11.466Z,"140 km E of Miyako, Japan",earthquake,,,,11,reviewed,us,us
1989-11-07T03:27:23.170Z,39.142,143.509,32.5,4.8,mb,,,,1.4,us,usp00041u1,2014-11-07T00:45:11.421Z,"139 km ESE of Yamada, Japan",earthquake,,9.3,,8,reviewed,us,us
1989-11-07T00:30:29.470Z,39.787,143.4,33,4.8,mb,,,,1.1,us,usp00041tx,2014-11-07T00:45:11.405Z,"126 km E of Miyako, Japan",earthquake,,,,9,reviewed,us,us
1989-11-06T22:04:59.570Z,40.181,143.024,33,4.7,mb,,,,1.1,us,usp00041tr,2014-11-07T00:45:11.391Z,"109 km ENE of Miyako, Japan",earthquake,,,,9,reviewed,us,us
1989-11-06T17:16:35.520Z,36.033,139.371,79.8,4.6,mb,,,,1.2,us,usp00041tk,2014-11-07T00:45:11.352Z,"8 km N of Sakado, Japan",earthquake,,12.1,,1,reviewed,us,us
1989-11-06T08:56:19.390Z,40.101,142.318,49,5.5,mw,,,,1,us,usp00041t4,2022-04-28T20:06:46.493Z,"59 km NNE of Miyako, Japan",earthquake,,7.5,,,reviewed,us,hrv
1989-11-06T06:03:58.430Z,39.167,141.66,70.7,4.8,mb,,,,1.4,us,usp00041sv,2014-11-07T00:45:11.104Z,"11 km NNW of ?funato, Japan",earthquake,,7.5,,10,reviewed,us,us
1989-11-05T19:24:03.770Z,39.605,143.825,27.9,3.7,mb,,,,1.2,us,usp00041se,2014-11-07T00:45:11.050Z,"161 km E of Miyako, Japan",earthquake,,,,2,reviewed,us,us
1989-11-05T19:06:56.950Z,39.713,143.723,28.6,4.7,mb,,,,0.7,us,usp00041sd,2014-11-07T00:45:11.048Z,"153 km E of Miyako, Japan",earthquake,,,,3,reviewed,us,us
1989-11-05T18:00:09.460Z,39.872,143.454,33,4.8,mb,,,,1.2,us,usp00041sb,2014-11-07T00:45:11.017Z,"132 km E of Miyako, Japan",earthquake,,,,3,reviewed,us,us
1989-11-05T15:56:20.630Z,39.159,143.515,28.7,5.2,mw,,,,1.1,us,usp00041s7,2016-11-09T23:53:40.163Z,"139 km ESE of Yamada, Japan",earthquake,,,,,reviewed,us,hrv
1989-11-05T15:08:26.080Z,40.046,142.691,42.5,5.2,mb,,,,1,us,usp00041s6,2022-04-28T20:06:43.230Z,"78 km NE of Miyako, Japan",earthquake,,,,41,reviewed,us,us
1989-11-05T13:42:04.470Z,39.145,143.477,30.6,5.2,mw,,,,1.1,us,usp00041s1,2016-11-09T23:53:39.614Z,"136 km ESE of Yamada, Japan",earthquake,,,,,reviewed,us,hrv
1989-11-05T01:25:31.190Z,39.074,143.408,37.3,4,mb,,,,1,us,usp00041rc,2014-11-07T00:45:10.858Z,"133 km ESE of Yamada, Japan",earthquake,,12.7,,4,reviewed,us,us
1989-11-04T21:56:42.610Z,39.3,143.336,21.1,5.3,mw,,,,1.1,us,usp00041r7,2016-11-09T23:53:08.777Z,"120 km E of Yamada, Japan",earthquake,,,,,reviewed,us,hrv
1989-11-04T20:51:13.860Z,39.097,143.574,26.9,5.5,ms,,,,0.9,us,usp00041r5,2014-11-07T00:45:10.809Z,"146 km ESE of Yamada, Japan",earthquake,,,,1,reviewed,us,us
1989-11-04T20:12:04.870Z,39.118,143.354,30.2,5.9,mw,,,,1.1,us,usp00041r2,2022-04-28T20:06:41.029Z,"127 km ESE of Yamada, Japan",earthquake,,,,,reviewed,us,hrv
1989-11-04T02:49:16.730Z,39.809,143.272,33,4.8,mb,,,,1,us,usp00041q1,2014-11-07T00:45:10.420Z,"115 km E of Miyako, Japan",earthquake,,,,16,reviewed,us,us
1989-11-03T22:45:01.990Z,39.528,143.47,30.8,4.3,mb,,,,0.8,us,usp00041pt,2014-11-07T00:45:10.384Z,"130 km E of Yamada, Japan",earthquake,,,,1,reviewed,us,us
1989-11-03T08:15:13.570Z,39.567,143.188,33,4.3,mb,,,,1.2,us,usp00041ny,2014-11-07T00:45:09.963Z,"107 km E of Yamada, Japan",earthquake,,,,3,reviewed,us,us
1989-11-03T05:49:47.410Z,39.514,143.205,24.7,5.2,mb,,,,0.9,us,usp00041nu,2014-11-07T00:45:09.918Z,"108 km E of Yamada, Japan",earthquake,,,,44,reviewed,us,us
1989-11-02T22:35:40.690Z,39.408,143.667,33,4.1,mb,,,,1.3,us,usp00041nj,2014-11-07T00:45:09.866Z,"147 km E of Yamada, Japan",earthquake,,,,4,reviewed,us,us
1989-11-02T19:42:37.590Z,39.382,143.62,33,4.3,mb,,,,1,us,usp00041nf,2014-11-07T00:45:09.838Z,"144 km E of Yamada, Japan",earthquake,,,,4,reviewed,us,us
1989-11-02T16:17:58.460Z,39.487,143.225,33,3.8,mb,,,,1.2,us,usp00041n7,2014-11-07T00:45:09.797Z,"109 km E of Yamada, Japan",earthquake,,,,2,reviewed,us,us
1989-11-02T15:55:19.340Z,40.034,143.546,33,4.2,mb,,,,0.7,us,usp00041n6,2014-11-07T00:45:09.792Z,"143 km ENE of Miyako, Japan",earthquake,,,,4,reviewed,us,us
1989-11-02T13:42:14.480Z,40.018,143.252,27.6,5.5,mw,,,,1,us,usp00041n3,2022-04-28T20:06:35.017Z,"119 km ENE of Miyako, Japan",earthquake,,,,,reviewed,us,hrv
1989-11-02T11:59:48.890Z,39.638,143.7,29.4,5.5,ms,,,,0.9,us,usp00041n0,2014-11-07T00:45:09.705Z,"151 km E of Miyako, Japan",earthquake,,,,1,reviewed,us,us
1989-11-02T11:51:46.450Z,39.49,143.098,26.6,5.3,mw,,,,1,us,usp00041mz,2016-11-09T23:52:20.855Z,"98 km E of Yamada, Japan",earthquake,,,,,reviewed,us,hrv
1989-11-02T11:30:54.290Z,39.238,143.888,33,4,mb,,,,0.4,us,usp00041mw,2014-11-07T00:45:09.659Z,"168 km E of Yamada, Japan",earthquake,,,,1,reviewed,us,us
1989-11-02T10:37:29.660Z,39.212,143.94,33,4,mb,,,,0.4,us,usp00041mv,2014-11-07T00:45:09.657Z,"173 km E of Yamada, Japan",earthquake,,,,1,reviewed,us,us
